seriesuid,coordX,coordY,coordZ,class,probability
322782,30.23513257408308,0.2196497552573078,-213.02133240740716,32,0.8344768899508206
322782,27.047120477370356,4.441079718919184,-289.1860776902186,31,0.8335328164299773
322782,-16.439354383647725,-1.4579110030659876,-115.31631643354322,32,0.8151777302334491
322782,76.96558895178202,75.44111171911666,-168.21606408632726,1,0.8131498176586927
322782,-15.210376773375827,-20.21780635625899,-171.93970302097466,32,0.8098074028576614
322782,-36.671692251141366,10.204107338909068,-115.45172756660492,32,0.7975526958056702
322782,43.538368545116896,74.53125,-229.87410140416944,1,0.6696987042584469
322782,-62.824798392591404,11.59230663339045,-42.39145487397252,32,0.6554445728134599
322782,12.451419003066832,-67.33742672565451,-196.171961691216,1,0.6426750291187866
322782,-59.2937469482422,-53.12200777564182,-237.47118740171146,1,0.6341573236113253
322782,17.88240998305281,39.0234375,-134.27495445728,31,0.6296031614545843
322782,52.47871865663541,28.889148487805983,-85.36981655934724,32,0.6221260574302933
322782,-51.5735214772868,-3.005968161305759,-207.41273207745235,32,0.6219104553313011
322782,-90.0456070100199,14.07564491762966,-241.08994688632077,1,0.6073357729681673
322782,-0.5828094482421875,-8.0859375,-171.75,32,0.3841187672556723
322782,-57.88749694824219,14.765625,-36.75,32,0.38352643285615584
322782,-8.317184448242188,11.953125,-179.25,32,0.38216823612807777
322782,-16.754684448242188,2.4609375,-175.5,32,0.3812296864605936
322782,-73.35624694824219,-34.453125,-261.75,1,0.3807507145283944
322782,2.2296905517578125,-6.6796875,-126.75,32,0.3803073636028994
322782,90.82344055175781,35.15625,-201.75,1,0.38002414011503044
322782,45.47187805175781,34.453125,-194.25,31,0.3800085699565128
322782,79.22187805175781,59.0625,-201.75,1,0.3792490516056195
322782,40.19844055175781,29.1796875,-265.5,31,0.3772268990002756
322782,98.90937805175781,55.1953125,-216.75,1,0.3761026907980302
322782,36.68281555175781,29.1796875,-51.75,31,0.3757888187635826
322782,34.22187805175781,48.515625,-89.25,1,0.3745412367704068
322782,-24.137496948242188,42.1875,-134.25,1,0.37204356461149046
322782,15.940628051757812,38.3203125,-179.25,31,0.3661844753713244
322782,-18.864059448242188,-8.0859375,-96.75,32,0.3641104339581333
322782,37.73750305175781,31.2890625,-198.0,31,0.3614513538965306
322782,-18.512496948242188,55.1953125,-156.75,1,0.36021782422509985
322782,-84.25468444824219,46.7578125,-276.75,1,0.3591744969223368
322782,27.190628051757812,2.4609375,-205.5,32,0.3576398583611908
322782,9.964065551757812,37.265625,-149.25,31,0.35635843568957926
322782,-20.973434448242188,20.390625,-171.75,32,0.3556321992011694
322782,24.026565551757812,3.8671875,-280.5,31,0.35087045573630954
322782,-30.817184448242188,66.09375,-138.0,1,0.3464372401406704
322782,19.807815551757812,37.96875,-149.25,31,0.34559895747402564
322782,-18.864059448242188,1.7578125,-153.0,32,0.34366986286036183
322782,26.487503051757812,15.8203125,-123.0,31,0.34290655982556517
322782,39.84687805175781,23.203125,-213.0,31,0.34026397144271414
322782,25.784378051757812,-0.703125,-59.25,32,0.33984031640763607
322782,-66.67655944824219,49.921875,-213.0,1,0.3385585100446206
322782,46.52656555175781,15.1171875,-29.25,32,0.3380634929794254
322782,23.323440551757812,39.0234375,-239.25,31,0.3375270668651124
322782,15.589065551757812,-71.3671875,-201.75,1,0.3369960128465372
322782,23.675003051757812,15.8203125,-119.25,32,0.33417190867730884
322782,-10.426559448242188,-20.390625,-123.0,1,0.33356798344635225
322782,40.55000305175781,32.34375,-194.25,31,0.3334853314896694
322782,1.1750030517578125,-4.921875,-171.75,31,0.32894014006878086
322782,33.51875305175781,52.734375,-96.75,1,0.3280823545318942
322782,-9.723434448242188,-19.3359375,-126.75,32,0.3280694147200663
322782,-14.996871948242188,59.765625,-168.0,1,0.32618525386942787
322782,-35.73905944824219,18.6328125,-74.25,32,0.3260729703771087
322782,17.698440551757812,38.671875,-179.25,31,0.3257979352311119
322782,102.07344055175781,3.1640625,-134.25,1,0.3245423299339319
322782,38.79219055175781,22.5,-171.75,31,0.3231847688183899
322782,-8.668746948242188,34.453125,-205.5,1,0.3212368017989391
322782,49.69062805175781,4.21875,-70.5,31,0.31650795417400024
322782,-50.15312194824219,-40.78125,-93.0,1,0.3138649092074329
340518,24.693969833303044,128.87783385946344,-276.30055931301337,31,0.9997315635151366
340518,-86.37191524743271,142.4312825153595,-279.8615556330783,1,0.9990756959376459
340518,32.002734630240155,139.30328433399472,-274.75892342495837,31,0.9957143990040672
340518,26.884576360517315,163.76900725536876,-104.31798040992757,31,0.9928311159628174
340518,46.983640358463646,177.0340457591553,-46.936653379485165,32,0.9911227775260463
340518,12.28146534812609,150.66901976248826,-208.25376733844507,32,0.9900607558133344
340518,-69.71059937827535,208.39491067485895,-105.07707192281302,1,0.9899745025893497
340518,-53.313581451089846,221.20897184189235,-130.79937452518868,1,0.9844921270607889
340518,-53.49628847035652,166.41093319253395,-54.8088320291489,32,0.9838968812687201
